C/P:,Collection,IsInterface?,Methods,Useless,Box,CompoundBox,Sampler,Canopy,Immutable,Implementor,PseudoClass,Pool,ControlledCreation,Overrider,Sink,Stateless,CommonState,Outline,FunctionPointer,FunctionObject,Joiner,Designator,Record,Taxonomy,PureType,AugmentedType,Extender,DataManager,Trait,CobolLike,StateMachine,Recursive
com.sun.org.apache.xml.internal.serializer.EncodingInfo$InEncoding,rt,Yes,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sun.audio.AudioDevice$Info,rt,N,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sun.org.mozilla.javascript.internal.NativeJavaArray,rt,N,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun.misc.resources.Messages,rt,N,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.sun.org.apache.xerces.internal.impl.XMLDocumentFragmentScannerImpl$Driver,rt,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
com.sun.xml.internal.bind.v2.model.impl.RuntimeTypeInfoSetImpl,rt,N,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun.security.krb5.internal.KRBPriv,rt,N,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.java.browser.net.ProxyInfo,rt,Yes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
javax.swing.plaf.basic.BasicSplitPaneUI$Actions,rt,N,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javax.swing.plaf.basic.BasicMenuUI,rt,N,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.io.ObjectInputStream$GetFieldImpl,rt,N,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.java.swing.plaf.motif.MotifTextAreaUI,rt,N,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sun.swing.BakedArrayList,rt,N,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.xml.internal.fastinfoset.stax.events.StAXFilteredEvent,rt,N,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.io.FileNotFoundException,rt,N,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
com.sun.xml.internal.stream.buffer.XMLStreamBufferMark,rt,N,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
javax.swing.text.DefaultEditorKit$DeleteWordAction,rt,N,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.org.apache.xerces.internal.impl.dtd.models.DFAContentModel,rt,N,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java.lang.SecurityManager,rt,N,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
javax.imageio.metadata.IIOMetadataFormatImpl,rt,N,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.java.swing.plaf.nimbus.SliderPainter,rt,N,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sun.java2d.opengl.OGLSwToSurfaceBlit,rt,N,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.sun.servicetag.RegistrationDocument,rt,N,16,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
javax.annotation.processing.SupportedAnnotationTypes,rt,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
sun.nio.cs.IBM852$Decoder,rt,N,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.sun.xml.internal.txw2.StartDocument,rt,N,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sun.nio.cs.UTF_16LE_BOM,rt,N,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.sun.org.apache.xerces.internal.impl.xs.traversers.XSDAbstractTraverser,rt,N,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
